ID,Species,Owner,Country.of.Origin,Farm.Name,Company,Altitude,Region,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points
317,Arabica,bismarck castro,Honduras,los hicaques,cigrah s.a de c.v,1400,comayagua,Washed / Wet,7.5,7.5,7.67,7.67,8,8,10,10,10,7.33,83.67
318,Arabica,"comercial internacional exportadora, s.a.",Nicaragua,santa matilde,"comercial internacional exportadora, s.a.",1250,jinotega,Washed / Wet,7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,7.5,83.67
319,Arabica,ipanema coffees,Brazil,capoeirinha,ipanema coffees,934,south of minas,Natural / Dry,7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83,83.67
320,Arabica,"lin, che-hao krude 林哲豪",Taiwan,tsoustructive garden 鄒築園,taiwan coffee laboratory,1200,"leye, alishan township, chiayi county",Natural / Dry,7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75,83.67
321,Arabica,"ceca, s.a.",Costa Rica,,"ceca,s.a.",1350,west valley,,7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,8.33,83.67
322,Arabica,doi tung development project,Thailand,,doi tung development project,800++,thailand,Washed / Wet,7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,83.67
323,Arabica,rob stephen,Colombia,,olam specialty coffee,1550-1700m,huila,Washed / Wet,7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83,83.67
324,Arabica,juan luis alvarado romero,Guatemala,finca las cuevitas,exportcafe,4451 metros,huehuetenango,Washed / Wet,8,7.5,7.33,8,8,8,9.33,10,10,7.5,83.67
325,Arabica,exportadora de cafe condor s.a,Colombia,various,exportadora de cafe condor s.a,1750 msnm,huila supremo,Washed / Wet,7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,83.67
326,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,1800 - 2000,huila,Washed / Wet,7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,83.67
327,Arabica,juan luis alvarado romero,Guatemala,la union monte verde,"unex guatemala, s.a.",4300,oriente,Washed / Wet,7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,83.67
328,Arabica,juan luis alvarado romero,Guatemala,el sacramento,"unex guatemala, s.a.",4300,oriente,Washed / Wet,7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,7.67,83.67
329,Arabica,exportadora de cafe condor s.a,Colombia,,exportadora de cafe condor s.a,1750 msnm,huila,Washed / Wet,7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83,83.67
330,Arabica,the coffee source inc.,Guatemala,finca quequesquez,the coffee source inc.,1450,oriente,Natural / Dry,8.17,8.17,7.83,7.67,08.08,7.75,9.33,9.33,9.33,8,83.67
331,Arabica,juan luis alvarado romero,Guatemala,agropecuaria quiagral,"unex guatemala, s.a.",4300,oriente,Washed / Wet,7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5,83.67
332,Arabica,juan luis ortega carballo,Mexico,finca apoxtla,,1100,xicotepec de juarez,Washed / Wet,7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,83.67
333,Arabica,ekai international company ltd.,Indonesia,"ijen highland, east java",scai,1200-1600masl,east java,Washed / Wet,8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58,83.67
334,Arabica,juan luis alvarado romero,Guatemala,finca medina,"siembras vision, s.a.",5000,"sacatepequez, guatemala",Washed / Wet,7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,83.67
335,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,,,7.75,8,7.92,08.08,7.75,8,9.33,9.33,9.33,8.17,83.67
336,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,ipanema coffees,890,south of minas,Natural / Dry,7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,83.58
337,Arabica,juan luis alvarado romero,Guatemala,finca santa clara,exportcafe,3702,huehuetenango,Washed / Wet,7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.58
338,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,,huila,Washed / Wet,7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58
339,Arabica,yunnan coffee exchange,China,menglian mang pan professional cooperative,yunnan coffee exchange,1100,yunnan,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58
340,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,83.58
341,Arabica,andreas kussmaul,Mexico,exportadora café california,exportadora café california,1200,"chiapas, jaltenango",Washed / Wet,7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,83.58
342,Arabica,essencecoffee,Ethiopia,lomi tasha,essence coffee,1700-2000m,yirgacheffe,Washed / Wet,7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75,83.58
343,Arabica,bulamburi coffee farmers association,Uganda,bulamburi coffee farmers,bulamburi coffee farmers association,1800,eastern,Washed / Wet,7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,83.58
344,Arabica,compañia colombiana agroindustrial s.a,Colombia,,ecom cca sa,1600,cundinamarca,Natural / Dry,7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,83.58
345,Arabica,compañia colombiana agroindustrial s.a,Colombia,,ecom cca sa,1550,santander,Washed / Wet,7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,83.58
346,Arabica,compañia colombiana agroindustrial s.a,Colombia,,ecom cca sa,1550,santander,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,7.58,83.58
347,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,dragon coffee 龍咖啡,blossom valley宸嶧國際,1000 m,taichung xinshe 台中市新社區,Other,7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,83.58
348,Arabica,racafe & cia s.c.a,Colombia,,c.i.racafe & cia s.c.a,de 1.600 a 1.950 msnm,huila,Washed / Wet,7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,83.58
349,Arabica,alfredo bojalil,Mexico,ojo de agua,ecomtrading,1000,xalapa,Washed / Wet,7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58
350,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,2136 msnm,cundinamarca,Natural / Dry,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58
351,Arabica,nucoffee,Brazil,fazenda jericó,nucoffee,1100m,south of minas,Semi-washed / Semi-pulped,7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,83.58
352,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,1799,cundinamarca,Washed / Wet,7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58,83.5
353,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,南投縣魚池鄉水社村中正路63-1號,宸嶧國際,,,,7.58,7.58,7.17,7.17,7,7,10,10,10,10,83.5
354,Arabica,"ceca, s.a.",Costa Rica,,"ceca,s.a.",1850,tarrazu,Washed / Wet,7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83,83.5
355,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,1000,pitalito,Natural / Dry,7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,83.5
356,Arabica,juan luis alvarado romero,Guatemala,la esperanza,"unex guatemala, s.a.",4000,oriente,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.5
357,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,Washed / Wet,7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,83.5
358,Arabica,damari absalome,"Tanzania, United Republic Of",ano family,tawoca,1400m,nkure- meru,Washed / Wet,7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,83.5
359,Arabica,aulia arif syahri,Indonesia,yusrin,pt. olam indonesia,1500,bener meriah,Semi-washed / Semi-pulped,7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67,83.5
360,Arabica,debesa agro industry plc,Ethiopia,,debesa agro industry plc,1600 on average,oromia,Natural / Dry,7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,7.58,83.5
361,Arabica,federacion nacional de cafeteros,Colombia,,federacion nacional de cafeteros,,huila,Washed / Wet,7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,7.67,83.5
362,Arabica,exportadora de cafe condor s.a,Colombia,,exportadora de cafe condor s.a,1850 msnm,huila,Washed / Wet,8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,83.5
363,Arabica,the coffee source inc.,Guatemala,several,the coffee source inc.,1400 mts,atitlan,Washed / Wet,7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,83.5
364,Arabica,compañia colombiana agroindustrial s.a,Colombia,,ecom cca sa,1650,cundinamarca,Washed / Wet,7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,7.67,83.5
365,Arabica,,Honduras,los hicaques,cigrah,1350,comayagua,Natural / Dry,7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,83.5
366,Arabica,exportadora de cafe condor s.a,Colombia,,exportadora de cafe condor s.a,1750 msnm,huila,Washed / Wet,7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,7.67,83.5
367,Arabica,exportadora de cafe condor s.a,Colombia,,exportadora de cafe condor s.a,1750 msnm,huila,Washed / Wet,7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,7.58,83.5
368,Arabica,manuel herrera juarez,Mexico,finca los barreales 1112lban,finca los barreales,1170,xalapa,Natural / Dry,7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,8.42,83.5
369,Arabica,miguel cortes moreno,Mexico,,estrategias constructivas corzu s.a. de c.v.,940,chilón,Semi-washed / Semi-pulped,7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,7.58,83.5
370,Arabica,gabriel bernardo rivas ross,Mexico,la corralera,,1400,totutla,Washed / Wet,7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,83.5
371,Arabica,juan luis alvarado romero,Guatemala,santo tomas pachuj,kanematsu corporation / rnp santo tomas pachuj,5000,atitlan,Washed / Wet,7.83,7.5,7.5,8,7.67,7.5,10,10,10,7.5,83.5
372,Arabica,racafe & cia s.c.a,Colombia,,c.i.racafe & cia s.c.a,de 1600 a 1950 msnm,huila,Washed / Wet,7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,7.67,83.5
373,Arabica,felipe isaza,Guatemala,conquista / morito,coffee resources inc.,4600 ft.,oriente,Washed / Wet,7.5,7.5,7.75,7.5,8,7.67,10,10,10,7.58,83.5
374,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,,,7.5,7.67,7.58,7.92,7.58,7.67,10,10,10,7.58,83.5
375,Arabica,specialty coffee association of indonesia,Indonesia,pancoer angkrek,,1600,bondowoso,,7.83,7.58,7.58,7.58,7.75,7.58,10,10,10,7.58,83.5
376,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,439,huila,Washed / Wet,7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,83.42
377,Arabica,juan luis alvarado romero,Guatemala,piamonte,"unex guatemala, s.a.",1700,san marcos,Washed / Wet,7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,7.67,83.42
378,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,442,huila,Washed / Wet,7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,7.67,83.42
379,Arabica,"ceca, s.a.",Costa Rica,gamboa,"ceca,s.a.",1850,tarrazu,Washed / Wet,7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,7.83,83.42
380,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,日月潭文武莊園,宸嶧國際,,,,7.67,7.67,7,07.08,7,7,10,10,10,10,83.42
381,Arabica,bugisu cooperative union,Uganda,bulago & buginyanya,bugisu cooperative union,1800,eastern,Washed / Wet,7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,7.75,83.42
382,Arabica,松澤宏樹 koju matsuzawa,Thailand,matsuzawa coffee,matsuzawa coffee,1200,thailand,Washed / Wet,7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,7.67,83.42
383,Arabica,consejo salvadoreño del café,El Salvador,la joya,consejo salvadoreño del café,1330,apaneca,Washed / Wet,7.58,7.5,7.75,7.58,7.75,7.67,10,10,10,7.58,83.42
384,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,442 msnm,huila,Natural / Dry,7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,83.42
385,Arabica,bourbon specialty coffees,Brazil,cachoeira da grama farm,bourbon specialty coffees,,vale da grama,Semi-washed / Semi-pulped,7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,7.75,83.42
386,Arabica,ngila estate ltd,"Tanzania, United Republic Of",ngila estate,ngila estate ltd,1600,karatu northern,Washed / Wet,7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,83.42
387,Arabica,compañia colombiana agroindustrial s.a,Colombia,,ecom cca sa,1813,huila,Washed / Wet,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,83.42
388,Arabica,juan luis alvarado romero,Guatemala,el papaturro,"unex guatemala, s.a.",4000 psnm,oriente,Natural / Dry,7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,83.42
389,Arabica,juan luis alvarado romero,Guatemala,finca medina,"siembras vision, s.a.",1500 msnm,antigua,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,83.42
390,Arabica,juan luis alvarado romero,Guatemala,el morito,"unex guatemala, s.a.",4300,oriente,Washed / Wet,7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,83.42
391,Arabica,kona pacific farmers cooperative,United States (Hawaii),,kona pacific farmers cooperative,,kona,Natural / Dry,7.42,7.75,7.67,7.58,7.67,7.67,10,10,10,7.67,83.42
392,Arabica,exportadora de cafe condor s.a,Colombia,various,exportadora de cafe condor s.a,1450 msnm,cundinamarca,Washed / Wet,7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,83.42
393,Arabica,federacion nacional de cafeteros,Colombia,,,,huila,,7.58,7.58,7.58,7.67,7.75,7.67,10,10,10,7.58,83.42
394,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,,kona,,7.5,7.92,7.42,7.67,7.83,7.58,10,10,10,7.5,83.42
395,Arabica,doi tung development project,Thailand,doi tung development project,,,,,7.58,7.25,7.5,7.92,7.92,7.42,10,10,10,7.83,83.42
396,Arabica,grounds for health admin,Mexico,,,900-1200mtr,nayarit,,7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,8,83.38
397,Arabica,exportadora de cafe condor s.a,Colombia,various,exportadora de cafe condor s.a,1650,huila,Washed / Wet,7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,7.58,83.33
398,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,,guayata,Washed / Wet,7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,7.67,83.33
399,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,,huila,Washed / Wet,7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.33
400,Arabica,ipanema coffees,Brazil,rio verde,ipanema coffees,1227,south of minas,Semi-washed / Semi-pulped,7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,83.33
401,Arabica,andreas kussmaul,Mexico,ecc,exportadora café california,1200,chiapas,Washed / Wet,7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,83.33
402,Arabica,exportadora de cafe condor s.a,Colombia,various,exportadora de cafe condor s.a,1650 msnm,santander,Washed / Wet,7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,83.33
403,Arabica,afca,"Tanzania, United Republic Of",mondul coffee estate,mondul coffee estate,1700,arusha,Semi-washed / Semi-pulped,7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,83.33
404,Arabica,j.andrade,Mexico,el pino,"café andrade, s.a. de c.v.",1100,veracruz,Washed / Wet,7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,83.33
405,Arabica,the coffee source inc.,Costa Rica,several,the coffee source inc.,1300 msnm,san ramon,Washed / Wet,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,83.33
406,Arabica,eileen koyanagi,United States (Hawaii),,kona pacific farmers cooperative,,kona,Natural / Dry,7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,7.83,83.33
407,Arabica,eric thormaehlen,Costa Rica,several,coricafe s.a.,1100-1300,central valley,Washed / Wet,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,83.33
408,Arabica,dane loraas,Peru,,sustainable harvest,,,Washed / Wet,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10,10,7.5,83.33
409,Arabica,itiah coffee llc,Haiti,marre blanche,itiah coffee llc.,4200 feet,"thiotte, haiti",Washed / Wet,7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,83.33
410,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,1000 msnm,pitalito,Natural / Dry,7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,83.33
411,Arabica,juan luis alvarado romero,Guatemala,el sacramento,"unex guatemala, s.a.",4300,oriente,Washed / Wet,7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,83.33
412,Arabica,kona pacific farmers cooperative,United States (Hawaii),,kona pacific farmers cooperative,,kona,Natural / Dry,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,7.83,83.33
413,Arabica,steven kil,Burundi,sogestal kayanza,the specialty coffee appraisers institute of asia,1880,kayanza,Washed / Wet,7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,7.83,83.33
414,Arabica,exportadora de cafe condor s.a,Colombia,,exportadora de cafe condor s.a,1750 msnm,huila,Washed / Wet,7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,83.33
415,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,kona,,08.08,7.83,7.83,7.75,7.67,7.58,9.33,10,9.33,7.92,83.33
416,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,,,7.58,7.67,7.58,7.5,7.83,7.67,10,10,10,7.5,83.33
417,Arabica,cafe de don balbino s.c. de r.l. de c.v.,Mexico,corta pico,cafe de don balbino s.c. de r.l. de c.v.,1600,sierra madre occidental,Washed / Wet,7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,83.25
418,Arabica,troy quimby,Costa Rica,estate la patricia,bold coast coffee,1900,tarrazu,Pulped natural / honey,7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,83.25
419,Arabica,rodrigo soto,Costa Rica,coopellanobonito,panamerican coffee trading,,tarrazu,Washed / Wet,7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,7.67,83.25
420,Arabica,juan luis alvarado romero,Guatemala,linda vista,mercon guatemala s.a.,2100,nuevo oriente,Washed / Wet,7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,83.25
421,Arabica,kawacom uganda ltd,Uganda,kawacom uganda ltd sipi farmers group,kawacom uganda ltd,,"sipi, mt elgon",Washed / Wet,7.5,7.67,7.67,7.42,7.67,7.67,10,10,10,7.67,83.25
422,Arabica,bourbon specialty coffees,Brazil,,bourbon specialty coffees,,campos altos - cerrado,,7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,8,83.25
423,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,442 msnm,huila,Natural / Dry,7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,83.25
424,Arabica,productos y servicios chilindron s.a. de c.v.,Mexico,los charcos,productos y servicios chilindron s.a. de c.v.,1261,cuarenteño,Natural / Dry,7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,83.25
425,Arabica,"lin, che-hao krude 林哲豪",Taiwan,sunshine valley estate 向陽高山咖啡,taiwan coffee laboratory,1000 m,natou county,Washed / Wet,7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,83.25
426,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,以勒咖啡,宸嶧國際,800公尺,南投國姓,Washed / Wet,7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,7.33,83.25
427,Arabica,compañia colombiana agroindustrial s.a,Colombia,,ecom cca sa,1483,eje cafetero,Natural / Dry,7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,83.25
428,Arabica,juan luis alvarado romero,Guatemala,finca medina,"siembras vision, s.a.",1500 msnm,antigua,Washed / Wet,7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,7.67,83.25
429,Arabica,exportadora de cafe condor s.a,Colombia,,exportadora de cafe condor s.a,1750 msnm,huila,Washed / Wet,7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,83.25
430,Arabica,calixto guillen vazquez,Mexico,various,"finca triunfo verde, s.c.",1300,chiapas,Washed / Wet,7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,83.25
431,Arabica,kona pacific farmers cooperative,United States (Hawaii),,kona pacific farmers cooperative,,kona,Natural / Dry,7.58,7.75,7.83,8,08.08,7.67,9.33,10,9.33,7.67,83.25
432,Arabica,ernesto rodriguez luna,Mexico,finca teocelo,finca teocelo,,veracruz,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.25
433,Arabica,modesto landeros flores,Mexico,mata larga,,1000,fortín de las flores,Washed / Wet,7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,7.58,83.25
434,Arabica,juan luis alvarado romero,Guatemala,agropecuaria quiagral,"unex guatemala, s.a.",4300,oriente,Washed / Wet,7.83,7.58,07.08,7.83,7.42,08.08,10,10,10,7.42,83.25
435,Arabica,nucoffee,Brazil,água limpa,nucoffee,1200m,grama valley,Semi-washed / Semi-pulped,7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,83.25
436,Arabica,exportadora de cafe condor s.a,Colombia,,exportadora de cafe condor s.a,175,huila,Washed / Wet,7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,83.25
437,Arabica,racafe & cia s.c.a,Colombia,,c.i.racafe & cia s.c.a,de 1600 a 1950 msnm,la plata,Washed / Wet,7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,83.25
438,Arabica,exportadora de cafe condor s.a,Colombia,,,1600-1800msnm,huila,,7.92,7.75,7.25,7.42,7.83,7.58,10,10,10,7.5,83.25
439,Arabica,exportadora de cafe condor s.a,Colombia,,,1880 msnm,cauca,,8,7.67,7.67,7.25,7.67,7.5,10,10,10,7.5,83.25
440,Arabica,exportadora de cafe condor s.a,Colombia,,,1800 m.s.n.m,cundinamarca,,7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,7.58,83.25
441,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,ipanema coffees,890,south of minas,Natural / Dry,7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,83.17
442,Arabica,juan luis alvarado romero,Guatemala,beneficio el torreon,"unex guatemala, s.a.",1901,oriente,Washed / Wet,7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,83.17
443,Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",mamsera,volcafe/taylorwinch tanzania ltd,16.8,moshi,Washed / Wet,7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,7.58,83.17
444,Arabica,andrea bernal,Peru,,prodlesur sa,,,,7.92,7.5,7.5,7.58,7.67,7.5,10,10,10,7.5,83.17
445,Arabica,"sunvirtue co., ltd.",Vietnam,apollo estate,"sunvirtue co., ltd.",1550,dala,Natural / Dry,7.58,7.42,07.08,7.33,7.58,8.58,10,10,10,7.58,83.17
446,Arabica,juan luis alvarado romero,Guatemala,finca medina,"siembras vision, s.a.",1500,antigua,Washed / Wet,7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,7.5,83.17
447,Arabica,cadexsa,Honduras,bethel,cadexsa,1450,marcala,Washed / Wet,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17
448,Arabica,yunnan coffee exchange,China,chen lin,yunnan coffee exchange,1200,yunnan,Washed / Wet,7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,7.67,83.17
449,Arabica,yunnan coffee exchange,China,yunnan success trade co.ltd,yunnan coffee exchange,1600,dehong prefecture,Washed / Wet,7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,7.67,83.17
450,Arabica,consejo salvadoreño del café,El Salvador,agua caliente,consejo salvadoreño del café,1350,apaneca,Washed / Wet,7.5,7.5,7.33,7.67,8,7.67,10,10,10,7.5,83.17
451,Arabica,juan luis alvarado romero,Guatemala,finca medina,"siembras vision, s.a.",1500msnm,antigua,Washed / Wet,7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,7.5,83.17
452,Arabica,juan luis alvarado romero,Guatemala,"la esperanza, margarita nuyes","unex guatemala, s.a.",1400-1900 psn,oriente,Washed / Wet,7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,7.42,83.17
453,Arabica,taylor winch (coffee) ltd.,Kenya,,taylor winch (coffee) ltd,approx.1'500 metres a.s.l.,kenya,Washed / Wet,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,83.17
454,Arabica,doi tung development project,Thailand,,doi tung development project,800++,thailand,Washed / Wet,7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,7.5,83.17
455,Arabica,tutunze kahawa ltd,"Tanzania, United Republic Of",myanganyanga,tutunze kahawa ltd,1653,mbinga,Washed / Wet,7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,7.67,83.17
456,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,Washed / Wet,7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,7.75,83.17
457,Arabica,kabum trading company,Uganda,kaptanya,kabum trading company,1800,eastern,Washed / Wet,8,7.67,7.5,7.42,7.33,7.58,10,10,10,7.67,83.17
458,Arabica,cafe politico,Colombia,unkown,green mountain coffee,,,Washed / Wet,7.58,7.75,7.5,7.58,7.58,7.58,10,10,10,7.58,83.17
459,Arabica,mayra yessenia torres,Honduras,el cerron,"olam honduras, s.a.",1450 msnn,san marcos,Natural / Dry,7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,7.67,83.17
460,Arabica,,Honduras,los hicaques,cigrah,1350,comayagua,Natural / Dry,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17
461,Arabica,juan luis alvarado romero,Guatemala,nueva granada,"agricola nueva granada, s.a.",5000 pies,san marcos,Washed / Wet,7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,7.67,83.17
462,Arabica,eileen koyanagi,United States (Hawaii),,kona pacific farmers cooperative,,kona,Natural / Dry,7.5,7.5,7.58,7.42,7.92,7.67,10,10,10,7.58,83.17
463,Arabica,balam hinyula,"Tanzania, United Republic Of",,taylor winch (t) ltd,1800,kilimanjaro,Washed / Wet,7.58,7.5,7.58,7.75,7.58,7.58,10,10,10,7.58,83.17
464,Arabica,juan luis alvarado romero,Guatemala,finca el morito,"unex guatemala, s.a.",4300,oriente,Washed / Wet,7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,7.5,83.17
